Ticker,Volatility,VaR (95%),Max Drawdown,Beta vs SPY,Risk Level,Latest Close,Sector,Company,Sub-Industry
GD,0.1965,-0.0181,-0.2255,0.4524,Moderate Risk,269.58,Industrials,General Dynamics,Aerospace & Defense
HON,0.1909,-0.0171,-0.1409,0.5036,Low Risk,213.12,Industrials,Honeywell,Industrial Conglomerates
HWM,0.3678,-0.0344,-0.1225,1.5039,High Risk,134.14,Industrials,Howmet Aerospace,Aerospace & Defense
HUBB,0.3195,-0.0349,-0.2927,1.5162,High Risk,346.63,Industrials,Hubbell Incorporated,Industrial Machinery & Supplies & Components
HII,0.4369,-0.0263,-0.4427,0.6917,Moderate Risk,203.27,Industrials,Huntington Ingalls Industries,Aerospace & Defense
IEX,0.2349,-0.0203,-0.2633,0.7915,Moderate Risk,184.74,Industrials,IDEX Corporation,Industrial Machinery & Supplies & Components
ITW,0.1765,-0.0183,-0.126,0.5796,Low Risk,255.89,Industrials,Illinois Tool Works,Industrial Machinery & Supplies & Components
IR,0.2781,-0.0256,-0.2404,1.1925,Moderate Risk,81.38,Industrials,Ingersoll Rand,Industrial Machinery & Supplies & Components
JBHT,0.2731,-0.0281,-0.2546,0.7749,Moderate Risk,151.39,Industrials,J.B. Hunt,Cargo Ground Transportation
J,0.21,-0.02,-0.199,0.7321,Low Risk,123.97,Industrials,Jacobs Solutions,Construction & Engineering
JCI,0.2793,-0.0243,-0.1502,1.2744,Moderate Risk,82.76,Industrials,Johnson Controls,Building Products
LHX,0.2042,-0.0193,-0.2598,0.2009,Moderate Risk,211.93,Industrials,L3Harris,Aerospace & Defense
LDOS,0.2877,-0.0244,-0.3686,0.4791,Moderate Risk,136.34,Industrials,Leidos,Diversified Support Services
LII,0.303,-0.0314,-0.1752,1.2759,High Risk,578.88,Industrials,Lennox International,Building Products
LMT,0.2143,-0.0161,-0.3071,-0.0766,Moderate Risk,445.17,Industrials,Lockheed Martin,Aerospace & Defense
MAS,0.2417,-0.0232,-0.1863,0.6994,Low Risk,70.41,Industrials,Masco,Building Products
NDSN,0.2352,-0.0185,-0.2758,0.7864,Moderate Risk,206.55,Industrials,Nordson Corporation,Industrial Machinery & Supplies & Components
NSC,0.2649,-0.0248,-0.1736,0.7161,Low Risk,235.76,Industrials,Norfolk Southern,Rail Transportation
NOC,0.2045,-0.0202,-0.1997,-0.0784,Low Risk,507.14,Industrials,Northrop Grumman,Aerospace & Defense
ODFL,0.3509,-0.0347,-0.3031,0.9804,High Risk,168.67,Industrials,Old Dominion,Cargo Ground Transportation
OTIS,0.1873,-0.0189,-0.1404,0.5304,Low Risk,102.69,Industrials,Otis Worldwide,Industrial Machinery & Supplies & Components
PCAR,0.2765,-0.0251,-0.2616,0.829,Moderate Risk,99.53,Industrials,Paccar,Construction Machinery & Heavy Transportation Equipment
PH,0.2758,-0.0274,-0.1625,1.3612,Moderate Risk,637.51,Industrials,Parker Hannifin,Industrial Machinery & Supplies & Components
PAYX,0.2049,-0.0162,-0.0865,0.497,Low Risk,150.19,Industrials,Paychex,Human Resource & Employment Services
PAYC,0.3907,-0.0305,-0.3241,0.7571,High Risk,222.72,Industrials,Paycom,Human Resource & Employment Services
PNR,0.2519,-0.0242,-0.229,0.9654,Moderate Risk,90.13,Industrials,Pentair,Industrial Machinery & Supplies & Components
PWR,0.3901,-0.0376,-0.3389,1.6829,High Risk,260.64,Industrials,Quanta Services,Construction & Engineering
RTX,0.1948,-0.0162,-0.0983,0.3272,Low Risk,134.33,Industrials,RTX Corporation,Aerospace & Defense
RSG,0.1571,-0.0153,-0.0827,0.3566,Low Risk,237.75,Industrials,Republic Services,Environmental & Facilities Services
ROK,0.3072,-0.0264,-0.158,1.193,Low Risk,269.28,Industrials,Rockwell Automation,Electrical Components & Equipment
ROL,0.2059,-0.019,-0.1151,0.3521,Low Risk,53.05,Industrials,"Rollins, Inc.",Environmental & Facilities Services
SNA,0.2272,-0.0172,-0.1342,0.7531,Low Risk,337.45,Industrials,Snap-on,Industrial Machinery & Supplies & Components
LUV,0.3335,-0.0347,-0.1978,0.7727,Moderate Risk,34.39,Industrials,Southwest Airlines,Passenger Airlines
SWK,0.3209,-0.0299,-0.2754,0.8619,Moderate Risk,78.44,Industrials,Stanley Black & Decker,Industrial Machinery & Supplies & Components
TXT,0.241,-0.0235,-0.2757,0.8425,Moderate Risk,75.17,Industrials,Textron,Aerospace & Defense
TT,0.2485,-0.0246,-0.2032,1.0985,Moderate Risk,352.06,Industrials,Trane Technologies,Building Products
TDG,0.2463,-0.0235,-0.1223,0.8745,Low Risk,1394.04,Industrials,TransDigm Group,Aerospace & Defense
UBER,0.405,-0.0313,-0.3059,1.0785,High Risk,74.18,Industrials,Uber,Passenger Ground Transportation
UNP,0.2038,-0.0192,-0.1236,0.504,Low Risk,238.03,Industrials,Union Pacific Corporation,Rail Transportation
UAL,0.4713,-0.0414,-0.3675,1.5236,High Risk,77.87,Industrials,United Airlines Holdings,Passenger Airlines
UPS,0.2828,-0.0247,-0.2424,0.4258,Moderate Risk,111.01,Industrials,United Parcel Service,Air Freight & Logistics
URI,0.3562,-0.0354,-0.3222,1.578,High Risk,641.6,Industrials,United Rentals,Trading Companies & Distributors
VLTO,0.1918,-0.0176,-0.159,0.5254,Low Risk,97.73,Industrials,Veralto,Environmental & Facilities Services
VRSK,0.1969,-0.0148,-0.0898,0.2077,Low Risk,292.03,Industrials,Verisk Analytics,Research & Consulting Services
GWW,0.2138,-0.0196,-0.2175,0.7189,Moderate Risk,988.19,Industrials,W. W. Grainger,Industrial Machinery & Supplies & Components
WAB,0.2465,-0.0204,-0.1626,1.0547,Low Risk,187.69,Industrials,Wabtec,Construction Machinery & Heavy Transportation Equipment
WM,0.1884,-0.0174,-0.1193,0.3768,Low Risk,228.93,Industrials,Waste Management,Environmental & Facilities Services
XYL,0.2217,-0.0196,-0.2124,0.9278,Moderate Risk,123.13,Industrials,Xylem Inc.,Industrial Machinery & Supplies & Components
ACN,0.2459,-0.0235,-0.2444,0.5681,Moderate Risk,311.16,Information Technology,Accenture,IT Consulting & Other Services
ADBE,0.3532,-0.0281,-0.3558,1.1379,Moderate Risk,397.81,Information Technology,Adobe Inc.,Application Software
AMD,0.4526,-0.0513,-0.4747,2.0391,High Risk,110.19,Information Technology,Advanced Micro Devices,Semiconductors
AKAM,0.3794,-0.022,-0.3001,1.0146,Moderate Risk,81.47,Information Technology,Akamai Technologies,Internet Services & Infrastructure
APH,0.3314,-0.0271,-0.2155,1.6855,High Risk,67.58,Information Technology,Amphenol,Electronic Components
ADI,0.3438,-0.0329,-0.1758,1.638,High Risk,210.53,Information Technology,Analog Devices,Semiconductors
ANSS,0.2115,-0.0213,-0.1477,1.054,Low Risk,323.34,Information Technology,Ansys,Application Software
AAPL,0.2449,-0.0259,-0.1896,0.9634,Low Risk,221.53,Information Technology,Apple Inc.,"Technology Hardware, Storage & Peripherals"
AMAT,0.4276,-0.0446,-0.4197,2.0871,High Risk,150.68,Information Technology,Applied Materials,Semiconductor Materials & Equipment
ANET,0.4984,-0.0547,-0.4026,2.3319,High Risk,81.66,Information Technology,Arista Networks,Communications Equipment
ADSK,0.2751,-0.029,-0.2339,1.2324,High Risk,271.21,Information Technology,Autodesk,Application Software
AVGO,0.5832,-0.0485,-0.2803,2.5669,High Risk,179.27,Information Technology,Broadcom,Semiconductors
CDNS,0.3682,-0.0362,-0.2834,1.7339,High Risk,263.41,Information Technology,Cadence Design Systems,Application Software
CDW,0.2883,-0.03,-0.3582,0.9265,High Risk,167.33,Information Technology,CDW Corporation,Technology Distributors
CSCO,0.1886,-0.0168,-0.0977,0.7297,Low Risk,61.8,Information Technology,Cisco,Communications Equipment
CTSH,0.2082,-0.0213,-0.1546,0.6641,Low Risk,77.85,Information Technology,Cognizant,IT Consulting & Other Services
GLW,0.2995,-0.0261,-0.1827,1.0764,Low Risk,47.1,Information Technology,Corning Inc.,Electronic Components
CRWD,0.4842,-0.0396,-0.4444,1.9138,High Risk,371.41,Information Technology,CrowdStrike,Systems Software
DELL,0.5306,-0.0513,-0.5079,1.946,High Risk,96.26,Information Technology,Dell Technologies,"Technology Hardware, Storage & Peripherals"
ENPH,0.6091,-0.0578,-0.607,0.9045,High Risk,60.15,Information Technology,Enphase Energy,Semiconductor Materials & Equipment
EPAM,0.4508,-0.0322,-0.384,0.8356,High Risk,176.92,Information Technology,EPAM Systems,IT Consulting & Other Services
FFIV,0.2925,-0.0213,-0.1712,1.0725,Low Risk,272.84,Information Technology,"F5, Inc.",Communications Equipment
FICO,0.3147,-0.0301,-0.2884,1.1593,High Risk,1887.0,Information Technology,Fair Isaac,Application Software
FSLR,0.5479,-0.0475,-0.5799,0.971,High Risk,126.34,Information Technology,First Solar,Semiconductors
FTNT,0.3851,-0.0272,-0.2234,0.8018,Moderate Risk,101.01,Information Technology,Fortinet,Systems Software
IT,0.2355,-0.0217,-0.2411,1.0448,Moderate Risk,426.77,Information Technology,Gartner,IT Consulting & Other Services
GEN,0.2771,-0.0216,-0.1657,0.689,Low Risk,27.53,Information Technology,Gen Digital,Systems Software
GDDY,0.2788,-0.023,-0.197,0.9413,Low Risk,183.1,Information Technology,GoDaddy,Internet Services & Infrastructure
HPE,0.4005,-0.0417,-0.3952,1.5414,High Risk,16.07,Information Technology,Hewlett Packard Enterprise,"Technology Hardware, Storage & Peripherals"
HPQ,0.3323,-0.0318,-0.2766,0.812,High Risk,28.71,Information Technology,HP Inc.,"Technology Hardware, Storage & Peripherals"
IBM,0.2568,-0.0176,-0.1389,0.7123,Low Risk,250.34,Information Technology,IBM,IT Consulting & Other Services
INTC,0.5819,-0.0537,-0.5713,1.9401,High Risk,23.42,Information Technology,Intel,Semiconductors
INTU,0.3108,-0.0252,-0.212,1.1225,Moderate Risk,614.86,Information Technology,Intuit,Application Software
JBL,0.3611,-0.0296,-0.3051,1.4294,High Risk,143.86,Information Technology,Jabil,Electronic Manufacturing Services
JNPR,0.1322,-0.0096,-0.1191,0.1267,Low Risk,36.12,Information Technology,Juniper Networks,Communications Equipment
KEYS,0.3224,-0.0269,-0.2515,1.3889,High Risk,156.4,Information Technology,Keysight Technologies,Electronic Equipment & Instruments
KLAC,0.4352,-0.0382,-0.3102,2.156,High Risk,705.54,Information Technology,KLA Corporation,Semiconductor Materials & Equipment
LRCX,0.4527,-0.0477,-0.3592,2.1603,High Risk,76.14,Information Technology,Lam Research,Semiconductor Materials & Equipment
MCHP,0.4173,-0.0442,-0.4771,1.7999,High Risk,52.17,Information Technology,Microchip Technology,Semiconductors
MU,0.5596,-0.0479,-0.4497,2.3426,High Risk,92.13,Information Technology,Micron Technology,Semiconductors
MSFT,0.2141,-0.022,-0.1852,1.1075,Low Risk,389.97,Information Technology,Microsoft,Systems Software
MPWR,0.5686,-0.0514,-0.4079,2.6752,High Risk,600.47,Information Technology,Monolithic Power Systems,Semiconductors
MSI,0.1927,-0.0162,-0.1821,0.6247,Low Risk,431.23,Information Technology,Motorola Solutions,Communications Equipment
NTAP,0.3254,-0.0306,-0.3251,1.2196,High Risk,92.75,Information Technology,NetApp,"Technology Hardware, Storage & Peripherals"
NVDA,0.5641,-0.0603,-0.2841,2.7426,High Risk,113.76,Information Technology,Nvidia,Semiconductors
NXPI,0.3727,-0.04,-0.3056,1.678,High Risk,205.75,Information Technology,NXP Semiconductors,Semiconductors
ON,0.4758,-0.0536,-0.4647,2.044,High Risk,45.04,Information Technology,ON Semiconductor,Semiconductors
ORCL,0.3811,-0.0309,-0.2489,1.6459,High Risk,147.8,Information Technology,Oracle Corporation,Application Software
PLTR,0.6752,-0.0508,-0.3871,2.6108,High Risk,92.28,Information Technology,Palantir Technologies,Internet Services & Infrastructure
PANW,0.3199,-0.0348,-0.1731,1.3661,High Risk,184.96,Information Technology,Palo Alto Networks,Systems Software
PTC,0.2287,-0.0233,-0.2407,0.9109,Moderate Risk,162.15,Information Technology,PTC Inc.,Application Software
QCOM,0.3794,-0.0384,-0.3308,1.8856,High Risk,158.39,Information Technology,Qualcomm,Semiconductors
ROP,0.1872,-0.0184,-0.1258,0.7318,Low Risk,582.71,Information Technology,Roper Technologies,Electronic Equipment & Instruments
CRM,0.3669,-0.0288,-0.2846,1.3055,High Risk,280.99,Information Technology,Salesforce,Application Software
STX,0.3128,-0.0323,-0.2342,1.2497,High Risk,87.63,Information Technology,Seagate Technology,"Technology Hardware, Storage & Peripherals"
NOW,0.3732,-0.0337,-0.3303,1.435,High Risk,838.55,Information Technology,ServiceNow,Systems Software
SWKS,0.4403,-0.0344,-0.4566,1.3737,High Risk,67.6,Information Technology,Skyworks Solutions,Semiconductors
SMCI,1.1365,-0.1105,-0.8264,2.8832,High Risk,37.04,Information Technology,Supermicro,"Technology Hardware, Storage & Peripherals"
SNPS,0.3666,-0.0379,-0.3102,1.9079,High Risk,449.9,Information Technology,Synopsys,Application Software
TEL,0.216,-0.0224,-0.1153,0.9963,Low Risk,149.74,Information Technology,TE Connectivity,Electronic Manufacturing Services
TDY,0.2304,-0.0185,-0.1556,0.6334,Low Risk,509.0,Information Technology,Teledyne Technologies,Electronic Equipment & Instruments
TER,0.4847,-0.0439,-0.4749,2.1485,High Risk,88.01,Information Technology,Teradyne,Semiconductor Materials & Equipment
TXN,0.3002,-0.0318,-0.2061,1.2915,High Risk,184.49,Information Technology,Texas Instruments,Semiconductors
TRMB,0.2971,-0.0253,-0.2259,1.3173,High Risk,68.94,Information Technology,Trimble Inc.,Electronic Equipment & Instruments
TYL,0.2461,-0.0229,-0.1443,0.6304,Low Risk,577.33,Information Technology,Tyler Technologies,Application Software
VRSN,0.1927,-0.0183,-0.1207,0.4734,Low Risk,248.13,Information Technology,Verisign,Internet Services & Infrastructure
WDC,0.403,-0.0425,-0.3316,1.7941,High Risk,42.62,Information Technology,Western Digital,"Technology Hardware, Storage & Peripherals"
WDAY,0.3402,-0.0254,-0.2432,0.9718,Moderate Risk,250.79,Information Technology,"Workday, Inc.",Application Software
ZBRA,0.2872,-0.0289,-0.3548,1.1392,Moderate Risk,288.02,Information Technology,Zebra Technologies,Electronic Equipment & Instruments
APD,0.2428,-0.0173,-0.1509,0.3735,Low Risk,295.26,Materials,Air Products,Industrial Gases
ALB,0.5207,-0.0573,-0.4773,1.3687,High Risk,75.72,Materials,Albemarle Corporation,Specialty Chemicals
AMCR,0.2267,-0.0189,-0.1691,0.3938,Low Risk,9.6,Materials,Amcor,Paper & Plastic Packaging Products & Materials
AVY,0.1932,-0.02,-0.2293,0.58,Moderate Risk,177.94,Materials,Avery Dennison,Paper & Plastic Packaging Products & Materials
BALL,0.2414,-0.0204,-0.3001,0.5332,Moderate Risk,51.31,Materials,Ball Corporation,"Metal, Glass & Plastic Containers"
CF,0.3111,-0.0345,-0.2237,0.3487,High Risk,76.64,Materials,CF Industries,Fertilizers & Agricultural Chemicals
CTVA,0.2408,-0.0247,-0.1253,0.624,Low Risk,62.7,Materials,Corteva,Fertilizers & Agricultural Chemicals
DOW,0.2351,-0.0252,-0.3751,0.5677,Moderate Risk,35.58,Materials,Dow Inc.,Commodity Chemicals
DD,0.2254,-0.0191,-0.1844,0.781,Low Risk,76.49,Materials,DuPont,Specialty Chemicals
EMN,0.2431,-0.0248,-0.2267,0.765,Moderate Risk,89.55,Materials,Eastman Chemical Company,Specialty Chemicals
ECL,0.1829,-0.0148,-0.1191,0.5497,Low Risk,252.39,Materials,Ecolab,Specialty Chemicals
FCX,0.3642,-0.0378,-0.3649,1.2336,High Risk,41.49,Materials,Freeport-McMoRan,Copper
IFF,0.2375,-0.02,-0.2678,0.4035,Moderate Risk,77.66,Materials,International Flavors & Fragrances,Specialty Chemicals
IP,0.3027,-0.0244,-0.1713,0.5384,Low Risk,55.41,Materials,International Paper,Paper & Plastic Packaging Products & Materials
LIN,0.1471,-0.014,-0.1486,0.474,Low Risk,461.43,Materials,Linde plc,Industrial Gases
LYB,0.2045,-0.0219,-0.2987,0.493,Moderate Risk,71.06,Materials,LyondellBasell,Specialty Chemicals
MLM,0.2426,-0.0261,-0.255,0.9664,Moderate Risk,482.87,Materials,Martin Marietta Materials,Construction Materials
MOS,0.3451,-0.036,-0.2911,0.5897,High Risk,27.12,Materials,Mosaic Company (The),Fertilizers & Agricultural Chemicals
NEM,0.3544,-0.0321,-0.3657,0.7461,High Risk,47.39,Materials,Newmont,Gold
NUE,0.3522,-0.0356,-0.4236,1.0445,High Risk,127.3,Materials,Nucor,Steel
PKG,0.2178,-0.0169,-0.2241,0.6912,Moderate Risk,199.5,Materials,Packaging Corporation of America,Paper & Plastic Packaging Products & Materials
PPG,0.2052,-0.0217,-0.2291,0.5832,Moderate Risk,111.93,Materials,PPG Industries,Specialty Chemicals
SHW,0.2205,-0.0208,-0.174,0.7357,Low Risk,344.42,Materials,Sherwin-Williams,Specialty Chemicals
SW,0.3758,-0.0356,-0.2375,1.1654,High Risk,45.28,Materials,Smurfit Westrock,Paper & Plastic Packaging Products & Materials
STLD,0.3325,-0.0315,-0.2731,1.0631,High Risk,128.34,Materials,Steel Dynamics,Steel
VMC,0.2508,-0.0248,-0.2443,1.0012,Moderate Risk,237.06,Materials,Vulcan Materials Company,Construction Materials
ARE,0.2525,-0.0269,-0.2501,0.6719,Moderate Risk,96.13,Real Estate,Alexandria Real Estate Equities,Office REITs
AMT,0.2629,-0.0247,-0.2741,-0.0472,Moderate Risk,210.02,Real Estate,American Tower,Telecom Tower REITs
AVB,0.1823,-0.0188,-0.1191,0.4743,Low Risk,214.09,Real Estate,AvalonBay Communities,Multi-Family Residential REITs
BXP,0.3044,-0.0316,-0.2775,1.0686,High Risk,68.92,Real Estate,"BXP, Inc.",Office REITs
CPT,0.2044,-0.0188,-0.1331,0.4039,Low Risk,122.21,Real Estate,Camden Property Trust,Multi-Family Residential REITs
CBRE,0.2853,-0.0259,-0.1722,1.0188,Low Risk,132.62,Real Estate,CBRE Group,Real Estate Services
CSGP,0.2924,-0.0313,-0.2827,0.9102,High Risk,80.37,Real Estate,CoStar Group,Real Estate Services
CCI,0.25,-0.0231,-0.2874,0.0237,Moderate Risk,101.09,Real Estate,Crown Castle,Telecom Tower REITs
DLR,0.2767,-0.028,-0.2509,0.9984,Moderate Risk,149.4,Real Estate,Digital Realty,Data Center REITs
EQIX,0.2548,-0.0235,-0.1607,0.8187,Low Risk,831.05,Real Estate,Equinix,Data Center REITs
EQR,0.1937,-0.0193,-0.1273,0.4902,Low Risk,71.57,Real Estate,Equity Residential,Multi-Family Residential REITs
ESS,0.2073,-0.0199,-0.1293,0.6042,Low Risk,306.23,Real Estate,Essex Property Trust,Multi-Family Residential REITs
EXR,0.2428,-0.0259,-0.2147,0.4933,Moderate Risk,145.58,Real Estate,Extra Space Storage,Self-Storage REITs
FRT,0.1935,-0.0226,-0.1863,0.469,Low Risk,97.51,Real Estate,Federal Realty Investment Trust,Retail REITs
DOC,0.2164,-0.021,-0.1467,0.5371,Low Risk,20.31,Real Estate,Healthpeak Properties,Health Care REITs
HST,0.2398,-0.0263,-0.2712,0.9985,Moderate Risk,14.81,Real Estate,Host Hotels & Resorts,Hotel & Resort REITs
INVH,0.2068,-0.019,-0.174,0.4929,Low Risk,34.37,Real Estate,Invitation Homes,Single-Family Residential REITs
IRM,0.2982,-0.029,-0.3498,0.7772,Moderate Risk,87.03,Real Estate,Iron Mountain,Other Specialized REITs
KIM,0.2114,-0.0219,-0.2021,0.5255,Moderate Risk,21.21,Real Estate,Kimco Realty,Retail REITs
MAA,0.1969,-0.019,-0.103,0.2872,Low Risk,164.5,Real Estate,Mid-America Apartment Communities,Multi-Family Residential REITs
PLD,0.2619,-0.0276,-0.2217,0.7865,Moderate Risk,111.13,Real Estate,Prologis,Industrial REITs
PSA,0.2279,-0.0223,-0.2008,0.3621,Moderate Risk,291.54,Real Estate,Public Storage,Self-Storage REITs
O,0.1773,-0.0179,-0.1929,0.0955,Low Risk,56.56,Real Estate,Realty Income,Retail REITs
REG,0.178,-0.0177,-0.0883,0.3115,Low Risk,72.83,Real Estate,Regency Centers,Retail REITs
SBAC,0.2628,-0.0243,-0.2233,0.1194,Moderate Risk,214.7,Real Estate,SBA Communications,Telecom Tower REITs
SPG,0.2193,-0.0203,-0.1402,0.7927,Low Risk,168.45,Real Estate,Simon Property Group,Retail REITs
UDR,0.1851,-0.0192,-0.1322,0.4443,Low Risk,44.35,Real Estate,"UDR, Inc.",Multi-Family Residential REITs
VTR,0.2149,-0.0174,-0.1375,0.3089,Low Risk,68.18,Real Estate,Ventas,Health Care REITs
VICI,0.1904,-0.0179,-0.1491,0.3041,Low Risk,31.9,Real Estate,Vici Properties,Hotel & Resort REITs
WELL,0.1925,-0.0164,-0.1114,0.3262,Low Risk,149.85,Real Estate,Welltower,Health Care REITs
WY,0.233,-0.0219,-0.242,0.477,Moderate Risk,29.42,Real Estate,Weyerhaeuser,Timber REITs
AES,0.4045,-0.0428,-0.5271,0.5968,High Risk,12.49,Utilities,AES Corporation,Independent Power Producers & Energy Traders
LNT,0.178,-0.0186,-0.1095,0.0425,Low Risk,62.86,Utilities,Alliant Energy,Electric Utilities
AEE,0.1783,-0.0163,-0.0786,0.0594,Low Risk,98.88,Utilities,Ameren,Multi-Utilities
AEP,0.1863,-0.0178,-0.131,-0.1354,Low Risk,103.9,Utilities,American Electric Power,Electric Utilities
AWK,0.2201,-0.0193,-0.1881,-0.0269,Low Risk,141.13,Utilities,American Water Works,Water Utilities
ATO,0.1591,-0.0147,-0.0992,0.182,Low Risk,150.16,Utilities,Atmos Energy,Gas Utilities
CNP,0.2021,-0.0191,-0.1814,0.2234,Low Risk,35.54,Utilities,CenterPoint Energy,Multi-Utilities
CMS,0.1616,-0.0182,-0.0917,-0.0586,Low Risk,73.31,Utilities,CMS Energy,Multi-Utilities
ED,0.1826,-0.0187,-0.1736,-0.2056,Low Risk,107.46,Utilities,Consolidated Edison,Multi-Utilities
CEG,0.6435,-0.059,-0.4169,1.8509,High Risk,216.97,Utilities,Constellation Energy,Electric Utilities
D,0.2159,-0.0216,-0.1264,-0.0742,Low Risk,53.86,Utilities,Dominion Energy,Multi-Utilities
DTE,0.1774,-0.0212,-0.0996,0.1001,Low Risk,135.72,Utilities,DTE Energy,Multi-Utilities
DUK,0.1669,-0.0164,-0.1159,-0.0714,Low Risk,117.11,Utilities,Duke Energy,Electric Utilities
EIX,0.2768,-0.0235,-0.4274,0.284,Moderate Risk,57.78,Utilities,Edison International,Electric Utilities
ETR,0.2598,-0.0165,-0.0845,0.1488,Low Risk,84.11,Utilities,Entergy,Electric Utilities
EVRG,0.1501,-0.0158,-0.0785,0.1235,Low Risk,67.33,Utilities,Evergy,Electric Utilities
ES,0.2199,-0.0232,-0.1724,-0.0495,Low Risk,59.94,Utilities,Eversource Energy,Electric Utilities
EXC,0.1824,-0.0177,-0.1159,-0.066,Low Risk,44.02,Utilities,Exelon,Electric Utilities
FE,0.1909,-0.0168,-0.1299,0.0049,Low Risk,38.48,Utilities,FirstEnergy,Electric Utilities
NEE,0.265,-0.0256,-0.2109,0.1045,Moderate Risk,69.73,Utilities,NextEra Energy,Multi-Utilities
NI,0.1673,-0.0145,-0.0737,0.2966,Low Risk,39.98,Utilities,NiSource,Multi-Utilities
NRG,0.4455,-0.0459,-0.2516,1.5366,High Risk,97.37,Utilities,NRG Energy,Independent Power Producers & Energy Traders
PCG,0.2426,-0.0233,-0.2983,0.3928,Moderate Risk,17.24,Utilities,PG&E Corporation,Multi-Utilities
PNW,0.1741,-0.0161,-0.135,0.1613,Low Risk,92.99,Utilities,Pinnacle West Capital,Multi-Utilities
PPL,0.1644,-0.0175,-0.0903,0.0756,Low Risk,34.6,Utilities,PPL Corporation,Electric Utilities
PEG,0.2049,-0.022,-0.1669,0.5102,Low Risk,81.53,Utilities,Public Service Enterprise Group,Electric Utilities
SRE,0.2869,-0.019,-0.2792,0.501,Moderate Risk,70.77,Utilities,Sempra,Multi-Utilities
SO,0.1815,-0.0163,-0.133,-0.0751,Low Risk,89.06,Utilities,Southern Company,Electric Utilities
VST,0.7127,-0.0595,-0.4346,2.5719,High Risk,124.01,Utilities,Vistra Corp.,Electric Utilities
WEC,0.1706,-0.0159,-0.0953,-0.045,Low Risk,105.8,Utilities,WEC Energy Group,Electric Utilities
XEL,0.1818,-0.0169,-0.1238,0.0084,Low Risk,68.92,Utilities,Xcel Energy,Multi-Utilities
